context,model,control,ground_truth,estimate,signed_error,absolute_error
helpdesk_identity,DCHAG_full,strong_verification,0.12325,0.1224,-0.0008500000000000035,0.0008500000000000035
helpdesk_identity,DCHAG_full,mfa_enforcement,0.2724666666666667,0.27328,0.0008133333333333326,0.0008133333333333326
helpdesk_identity,DCHAG_full,manager_callback,0.07033333333333333,0.06522,-0.005113333333333331,0.005113333333333331
helpdesk_identity,DCHAG_full,session_risk_block,0.13535,0.1301,-0.005250000000000005,0.005250000000000005
helpdesk_identity,DCHAG_technical_only,strong_verification,0.12325,0.0,-0.12325,0.12325
helpdesk_identity,DCHAG_technical_only,mfa_enforcement,0.2724666666666667,0.23318,-0.03928666666666669,0.03928666666666669
helpdesk_identity,DCHAG_technical_only,manager_callback,0.07033333333333333,0.0,-0.07033333333333333,0.07033333333333333
helpdesk_identity,DCHAG_technical_only,session_risk_block,0.13535,0.11862,-0.016729999999999995,0.016729999999999995
helpdesk_identity,DCHAG_no_human,strong_verification,0.12325,0.0,-0.12325,0.12325
helpdesk_identity,DCHAG_no_human,mfa_enforcement,0.2724666666666667,0.24546,-0.02700666666666668,0.02700666666666668
helpdesk_identity,DCHAG_no_human,manager_callback,0.07033333333333333,0.05474,-0.015593333333333334,0.015593333333333334
helpdesk_identity,DCHAG_no_human,session_risk_block,0.13535,0.12248,-0.012869999999999993,0.012869999999999993
helpdesk_identity,DCHAG_no_process,strong_verification,0.12325,0.0,-0.12325,0.12325
helpdesk_identity,DCHAG_no_process,mfa_enforcement,0.2724666666666667,0.23058,-0.04188666666666668,0.04188666666666668
helpdesk_identity,DCHAG_no_process,manager_callback,0.07033333333333333,0.0,-0.07033333333333333,0.07033333333333333
helpdesk_identity,DCHAG_no_process,session_risk_block,0.13535,0.1199,-0.015449999999999992,0.015449999999999992
helpdesk_identity,DCHAG_no_temporal,strong_verification,0.12325,0.0606,-0.06265,0.06265
helpdesk_identity,DCHAG_no_temporal,mfa_enforcement,0.2724666666666667,0.17128,-0.1011866666666667,0.1011866666666667
helpdesk_identity,DCHAG_no_temporal,manager_callback,0.07033333333333333,0.03474,-0.03559333333333333,0.03559333333333333
helpdesk_identity,DCHAG_no_temporal,session_risk_block,0.13535,0.09142,-0.04393,0.04393
helpdesk_identity,ObservationalOutcome,strong_verification,0.12325,0.0946846083166199,-0.028565391683380098,0.028565391683380098
helpdesk_identity,ObservationalOutcome,mfa_enforcement,0.2724666666666667,0.2644978824412723,-0.007968784225394376,0.007968784225394376
helpdesk_identity,ObservationalOutcome,manager_callback,0.07033333333333333,0.071276787703077,0.0009434543697436626,0.0009434543697436626
helpdesk_identity,ObservationalOutcome,session_risk_block,0.13535,0.1103038224320377,-0.025046177567962305,0.025046177567962305
it_ot_maintenance,DCHAG_full,change_validation,0.10921666666666667,0.10804,-0.001176666666666673,0.001176666666666673
it_ot_maintenance,DCHAG_full,jump_host_enforcement,0.14775,0.14874,0.0009900000000000186,0.0009900000000000186
it_ot_maintenance,DCHAG_full,signed_change_package,0.14773333333333333,0.14346,-0.0042733333333333234,0.0042733333333333234
it_ot_maintenance,DCHAG_full,command_allowlist,0.11151666666666667,0.09922,-0.012296666666666664,0.012296666666666664
it_ot_maintenance,DCHAG_technical_only,change_validation,0.10921666666666667,0.0,-0.10921666666666667,0.10921666666666667
it_ot_maintenance,DCHAG_technical_only,jump_host_enforcement,0.14775,0.12844,-0.019309999999999994,0.019309999999999994
it_ot_maintenance,DCHAG_technical_only,signed_change_package,0.14773333333333333,0.13416,-0.013573333333333326,0.013573333333333326
it_ot_maintenance,DCHAG_technical_only,command_allowlist,0.11151666666666667,0.09642,-0.015096666666666661,0.015096666666666661
it_ot_maintenance,DCHAG_no_human,change_validation,0.10921666666666667,0.0,-0.10921666666666667,0.10921666666666667
it_ot_maintenance,DCHAG_no_human,jump_host_enforcement,0.14775,0.13432,-0.013429999999999997,0.013429999999999997
it_ot_maintenance,DCHAG_no_human,signed_change_package,0.14773333333333333,0.134,-0.01373333333333332,0.01373333333333332
it_ot_maintenance,DCHAG_no_human,command_allowlist,0.11151666666666667,0.09588,-0.01563666666666666,0.01563666666666666
it_ot_maintenance,DCHAG_no_process,change_validation,0.10921666666666667,0.0,-0.10921666666666667,0.10921666666666667
it_ot_maintenance,DCHAG_no_process,jump_host_enforcement,0.14775,0.12572,-0.022029999999999994,0.022029999999999994
it_ot_maintenance,DCHAG_no_process,signed_change_package,0.14773333333333333,0.13578,-0.011953333333333316,0.011953333333333316
it_ot_maintenance,DCHAG_no_process,command_allowlist,0.11151666666666667,0.09472,-0.016796666666666668,0.016796666666666668
it_ot_maintenance,DCHAG_no_temporal,change_validation,0.10921666666666667,0.0762,-0.033016666666666666,0.033016666666666666
it_ot_maintenance,DCHAG_no_temporal,jump_host_enforcement,0.14775,0.10266,-0.04508999999999999,0.04508999999999999
it_ot_maintenance,DCHAG_no_temporal,signed_change_package,0.14773333333333333,0.09862,-0.04911333333333333,0.04911333333333333
it_ot_maintenance,DCHAG_no_temporal,command_allowlist,0.11151666666666667,0.0694,-0.04211666666666666,0.04211666666666666
it_ot_maintenance,ObservationalOutcome,change_validation,0.10921666666666667,0.0964465044058719,-0.012770162260794776,0.012770162260794776
it_ot_maintenance,ObservationalOutcome,jump_host_enforcement,0.14775,0.1188084745970208,-0.028941525402979187,0.028941525402979187
it_ot_maintenance,ObservationalOutcome,signed_change_package,0.14773333333333333,0.1248370468234836,-0.022896286509849734,0.022896286509849734
it_ot_maintenance,ObservationalOutcome,command_allowlist,0.11151666666666667,0.0863597235671198,-0.025156943099546872,0.025156943099546872
