context,variant,control,ground_truth,estimate,absolute_error,brier,log_loss,path_precision,path_recall,path_f1
data_exfiltration,missing_50,separation_of_duties,0.0973,0.0998,0.0025000000000000022,0.1973622777777777,0.5808292117455833,0.824807977402048,0.7054092951897968,0.7379951647369773
data_exfiltration,missing_50,dlp_enforcement,0.27673333333333333,0.26698,0.009753333333333336,0.1973622777777777,0.5808292117455833,0.824807977402048,0.7054092951897968,0.7379951647369773
data_exfiltration,missing_50,export_confirmation,0.1538,0.14884,0.004959999999999992,0.1973622777777777,0.5808292117455833,0.824807977402048,0.7054092951897968,0.7379951647369773
data_exfiltration,missing_50,egress_protection,0.16031666666666666,0.14856,0.011756666666666665,0.1973622777777777,0.5808292117455833,0.824807977402048,0.7054092951897968,0.7379951647369773
data_exfiltration,human_process_unobserved,separation_of_duties,0.0973,0.0,0.0973,0.1974121592592592,0.5810936154808016,1.0,0.6841090367886263,0.7859024479597183
data_exfiltration,human_process_unobserved,dlp_enforcement,0.27673333333333333,0.24768,0.02905333333333332,0.1974121592592592,0.5810936154808016,1.0,0.6841090367886263,0.7859024479597183
data_exfiltration,human_process_unobserved,export_confirmation,0.1538,0.1397,0.014100000000000001,0.1974121592592592,0.5810936154808016,1.0,0.6841090367886263,0.7859024479597183
data_exfiltration,human_process_unobserved,egress_protection,0.16031666666666666,0.14676,0.013556666666666661,0.1974121592592592,0.5810936154808016,1.0,0.6841090367886263,0.7859024479597183
data_exfiltration,structural_edge_drop,separation_of_duties,0.0973,0.09778,0.0004800000000000082,0.1979490407407407,0.5821656492337746,1.0,1.0,1.0
data_exfiltration,structural_edge_drop,dlp_enforcement,0.27673333333333333,0.27066,0.0060733333333333195,0.1979490407407407,0.5821656492337746,1.0,1.0,1.0
data_exfiltration,structural_edge_drop,export_confirmation,0.1538,0.15312,0.0006799999999999862,0.1979490407407407,0.5821656492337746,1.0,1.0,1.0
data_exfiltration,structural_edge_drop,egress_protection,0.16031666666666666,0.15198,0.008336666666666659,0.1979490407407407,0.5821656492337746,1.0,1.0,1.0
helpdesk_identity,missing_10,strong_verification,0.12325,0.12218,0.0010700000000000015,0.2178932999999999,0.6263261166372536,0.9657742907619392,0.9600512876451612,0.9571950161447916
helpdesk_identity,missing_10,mfa_enforcement,0.2724666666666667,0.26874,0.0037266666666667114,0.2178932999999999,0.6263261166372536,0.9657742907619392,0.9600512876451612,0.9571950161447916
helpdesk_identity,missing_10,manager_callback,0.07033333333333333,0.06474,0.005593333333333325,0.2178932999999999,0.6263261166372536,0.9657742907619392,0.9600512876451612,0.9571950161447916
helpdesk_identity,missing_10,session_risk_block,0.13535,0.13286,0.0024899999999999922,0.2178932999999999,0.6263261166372536,0.9657742907619392,0.9600512876451612,0.9571950161447916
helpdesk_identity,missing_30,strong_verification,0.12325,0.12266,0.0005899999999999933,0.2179485037037037,0.6268006117225935,0.8932712612118564,0.8702511354445498,0.868143054376066
helpdesk_identity,missing_30,mfa_enforcement,0.2724666666666667,0.28308,0.010613333333333308,0.2179485037037037,0.6268006117225935,0.8932712612118564,0.8702511354445498,0.868143054376066
helpdesk_identity,missing_30,manager_callback,0.07033333333333333,0.06542,0.004913333333333325,0.2179485037037037,0.6268006117225935,0.8932712612118564,0.8702511354445498,0.868143054376066
helpdesk_identity,missing_30,session_risk_block,0.13535,0.12846,0.006890000000000007,0.2179485037037037,0.6268006117225935,0.8932712612118564,0.8702511354445498,0.868143054376066
helpdesk_identity,missing_50,strong_verification,0.12325,0.1243,0.0010499999999999954,0.217306074074074,0.6250606351156344,0.8032725783219855,0.7617023075157812,0.7489322327730112
helpdesk_identity,missing_50,mfa_enforcement,0.2724666666666667,0.26772,0.004746666666666677,0.217306074074074,0.6250606351156344,0.8032725783219855,0.7617023075157812,0.7489322327730112
helpdesk_identity,missing_50,manager_callback,0.07033333333333333,0.06552,0.004813333333333336,0.217306074074074,0.6250606351156344,0.8032725783219855,0.7617023075157812,0.7489322327730112
helpdesk_identity,missing_50,session_risk_block,0.13535,0.12224,0.013109999999999997,0.217306074074074,0.6250606351156344,0.8032725783219855,0.7617023075157812,0.7489322327730112
helpdesk_identity,human_process_unobserved,strong_verification,0.12325,0.0,0.12325,0.2184239296296296,0.6276838478724057,1.0,0.717098665594655,0.8114160225434439
helpdesk_identity,human_process_unobserved,mfa_enforcement,0.2724666666666667,0.2375,0.0349666666666667,0.2184239296296296,0.6276838478724057,1.0,0.717098665594655,0.8114160225434439
helpdesk_identity,human_process_unobserved,manager_callback,0.07033333333333333,0.0,0.07033333333333333,0.2184239296296296,0.6276838478724057,1.0,0.717098665594655,0.8114160225434439
helpdesk_identity,human_process_unobserved,session_risk_block,0.13535,0.11502,0.02033,0.2184239296296296,0.6276838478724057,1.0,0.717098665594655,0.8114160225434439
helpdesk_identity,structural_edge_drop,strong_verification,0.12325,0.0845,0.03874999999999999,0.2190836185185185,0.6292123570488043,1.0,0.8415936178317021,0.88874619141067
helpdesk_identity,structural_edge_drop,mfa_enforcement,0.2724666666666667,0.25896,0.013506666666666667,0.2190836185185185,0.6292123570488043,1.0,0.8415936178317021,0.88874619141067
helpdesk_identity,structural_edge_drop,manager_callback,0.07033333333333333,0.04836,0.02197333333333333,0.2190836185185185,0.6292123570488043,1.0,0.8415936178317021,0.88874619141067
helpdesk_identity,structural_edge_drop,session_risk_block,0.13535,0.1279,0.007449999999999984,0.2190836185185185,0.6292123570488043,1.0,0.8415936178317021,0.88874619141067
it_ot_maintenance,missing_10,change_validation,0.10921666666666667,0.11178,0.002563333333333334,0.2176673592592592,0.6260163054396957,0.9739069011796284,0.9509539480943076,0.953504607343402
it_ot_maintenance,missing_10,jump_host_enforcement,0.14775,0.1515,0.0037500000000000033,0.2176673592592592,0.6260163054396957,0.9739069011796284,0.9509539480943076,0.953504607343402
it_ot_maintenance,missing_10,signed_change_package,0.14773333333333333,0.1445,0.003233333333333338,0.2176673592592592,0.6260163054396957,0.9739069011796284,0.9509539480943076,0.953504607343402
it_ot_maintenance,missing_10,command_allowlist,0.11151666666666667,0.1014,0.010116666666666663,0.2176673592592592,0.6260163054396957,0.9739069011796284,0.9509539480943076,0.953504607343402
it_ot_maintenance,missing_30,change_validation,0.10921666666666667,0.11012,0.0009033333333333254,0.216717111111111,0.6236849506298953,0.9053327624756196,0.8251551950103398,0.846262800905538
it_ot_maintenance,missing_30,jump_host_enforcement,0.14775,0.15314,0.005390000000000006,0.216717111111111,0.6236849506298953,0.9053327624756196,0.8251551950103398,0.846262800905538
it_ot_maintenance,missing_30,signed_change_package,0.14773333333333333,0.13848,0.009253333333333336,0.216717111111111,0.6236849506298953,0.9053327624756196,0.8251551950103398,0.846262800905538
it_ot_maintenance,missing_30,command_allowlist,0.11151666666666667,0.09846,0.013056666666666661,0.216717111111111,0.6236849506298953,0.9053327624756196,0.8251551950103398,0.846262800905538
